 0.00000E+000  3.46711E-312  5.08341E-001  4.24978E-002  9.52792E-003  6.15962E-002  9.66688E-001  1.05653E+000  1.25911E+000
 5.00500E+00 -1.20930E+00  2.06900E+00  4.24978E-02  9.52792E-03  6.15962E-02  8.11913E-01  1.30576E+00  1.55015E+00
 5.01000E+00 -1.20963E+00  2.06938E+00  4.24978E-02  9.52792E-03  6.15962E-02  8.04956E-01  1.29321E+00  1.70550E+00
 5.01500E+00 -1.21115E+00  2.07245E+00  4.24978E-02  9.52792E-03  6.15962E-02  8.00295E-01  1.28080E+00  1.86101E+00
 5.02000E+00 -1.21513E+00  2.08041E+00  4.24978E-02  9.52792E-03  6.15962E-02  7.97444E-01  1.26855E+00  2.00627E+00
 5.02500E+00 -1.22164E+00  2.09328E+00  4.24978E-02  9.52792E-03  6.15962E-02  7.95814E-01  1.25648E+00  2.13344E+00
 5.03000E+00 -1.22935E+00  2.10883E+00  4.24978E-02  9.52792E-03  6.15962E-02  7.94735E-01  1.24458E+00  2.23816E+00
 5.03500E+00 -1.23725E+00  2.12380E+00  4.24978E-02  9.52792E-03  6.15962E-02  7.93487E-01  1.23289E+00  2.31909E+00
 5.04000E+00 -1.24332E+00  2.13516E+00  4.24978E-02  9.52792E-03  6.15962E-02  7.91341E-01  1.22142E+00  2.37704E+00
 5.04500E+00 -1.24625E+00  2.14079E+00  4.24978E-02  9.52792E-03  6.15962E-02  7.87621E-01  1.21020E+00  2.41421E+00
 5.05000E+00 -1.24578E+00  2.13971E+00  4.24978E-02  9.52792E-03  6.15962E-02  7.81787E-01  1.19923E+00  2.43344E+00
 5.05500E+00 -1.24186E+00  2.13212E+00  4.24978E-02  9.52792E-03  6.15962E-02  7.73541E-01  1.18855E+00  2.43769E+00
 5.06000E+00 -1.23571E+00  2.11949E+00  4.24978E-02  9.52792E-03  6.15962E-02  7.62972E-01  1.17817E+00  2.42982E+00
 5.06500E+00 -1.22807E+00  2.10481E+00  4.24978E-02  9.52792E-03  6.15962E-02  7.50807E-01  1.16813E+00  2.41235E+00
 5.07000E+00 -1.22126E+00  2.09250E+00  4.24978E-02  9.52792E-03  6.15962E-02  7.38384E-01  1.15844E+00  2.38762E+00
 5.07500E+00 -1.21850E+00  2.08733E+00  4.24978E-02  9.52792E-03  6.15962E-02  7.27795E-01  1.14924E+00  2.35741E+00
 5.08000E+00 -1.22106E+00  2.09182E+00  4.24978E-02  9.52792E-03  6.15962E-02  7.22013E-01  1.14056E+00  2.32306E+00
 5.08500E+00 -1.22682E+00  2.10414E+00  4.24978E-02  9.52792E-03  6.15962E-02  7.24447E-01  1.13229E+00  2.28574E+00
 5.09000E+00 -1.23424E+00  2.11932E+00  4.24978E-02  9.52792E-03  6.15962E-02  7.38241E-01  1.12448E+00  2.24640E+00
 5.09500E+00 -1.24084E+00  2.13256E+00  4.24978E-02  9.52792E-03  6.15962E-02  7.65367E-01  1.11714E+00  2.20583E+00
 5.10000E+00 -1.24523E+00  2.14136E+00  4.24978E-02  9.52792E-03  6.15962E-02  8.05940E-01  1.11031E+00  2.16464E+00
 5.10500E+00 -1.24724E+00  2.14546E+00  4.24978E-02  9.52792E-03  6.15962E-02  8.58129E-01  1.10402E+00  2.12334E+00
 5.11000E+00 -1.24738E+00  2.14585E+00  4.24978E-02  9.52792E-03  6.15962E-02  9.18685E-01  1.09829E+00  2.08235E+00
 5.11500E+00 -1.24649E+00  2.14382E+00  4.24978E-02  9.52792E-03  6.15962E-02  9.83737E-01  1.09314E+00  2.04205E+00
 5.12000E+00 -1.24490E+00  2.14053E+00  4.24978E-02  9.52792E-03  6.15962E-02  1.04950E+00  1.08860E+00  2.00273E+00
 5.12500E+00 -1.24340E+00  2.13695E+00  4.24978E-02  9.52792E-03  6.15962E-02  1.11276E+00  1.08470E+00  1.96465E+00
 5.13000E+00 -1.24187E+00  2.13393E+00  4.24978E-02  9.52792E-03  6.15962E-02  1.17108E+00  1.08146E+00  1.92802E+00
 5.13500E+00 -1.24093E+00  2.13226E+00  4.24978E-02  9.52792E-03  6.15962E-02  1.22285E+00  1.07890E+00  1.89304E+00
 5.14000E+00 -1.24125E+00  2.13261E+00  4.24978E-02  9.52792E-03  6.15962E-02  1.26724E+00  1.07703E+00  1.85984E+00
